Airports (large hubs),IATA Code,Major cities served,Passenger Count (2014),State,Rank
Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,"46,604,273",GA,1
Los Angeles International Airport,LAX,Los Angeles,"34,314,197",CA,2
O'Hare International Airport,ORD,Chicago,"33,843,426",IL,3
Dallas/Fort Worth International Airport,DFW,Dallas & Ft. Worth,"30,804,567",TX,4
John F. Kennedy International Airport,JFK,New York City,"26,244,928",NY,5
Denver International Airport,DEN,Denver,"26,000,591",CO,6
San Francisco International Airport,SFO,San Francisco,"22,770,783",CA,7
Charlotte Douglas International Airport,CLT,Charlotte,"21,537,725",NC,8
Harry Reid International Airport,LAS,Las Vegas,"20,620,248",NV,9
Phoenix Sky Harbor International Airport,PHX,Phoenix,"20,344,867",AZ,10
George Bush Intercontinental Airport,IAH,Houston,"19,772,087",TX,11
Miami International Airport,MIA,Miami,"19,471,466",FL,12
Seattle–Tacoma International Airport,SEA,Seattle,"17,888,080",WA,13
Newark Liberty International Airport,EWR,Newark & New York City,"17,773,405",NJ,14
Orlando International Airport,MCO,Orlando,"17,278,608",FL,15
Minneapolis–Saint Paul International Airport,MSP,Minneapolis & Saint Paul,"16,972,678",MN,16
Detroit Metropolitan Airport,DTW,Detroit,"15,775,941",MI,17
Logan International Airport,BOS,Boston,"15,507,561",MA,18
Philadelphia International Airport,PHL,Philadelphia,"14,792,339",PA,19
LaGuardia Airport,LGA,New York City,"13,535,372",NY,20
Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,"12,031,860",FL,21
Baltimore/Washington International Airport,BWI,"Baltimore & Washington, D.C.","11,022,200",MD,22
Washington Dulles International Airport,IAD,"Washington, D.C.","10,415,948",VA,23
Midway International Airport,MDW,Chicago,"10,311,996",IL,24
Salt Lake City International Airport,SLC,Salt Lake City,"10,139,065",UT,25
Ronald Reagan Washington National Airport,DCA,"Washington, D.C.","10,057,794",VA,26
Daniel K. Inouye International Airport,HNL,Honolulu,"9,463,000",HI,27
San Diego International Airport,SAN,San Diego,"9,333,152",CA,28
Tampa International Airport,TPA,Tampa,"8,531,561",FL,29
Portland International Airport,PDX,Portland,"7,878,760",OR,30
St. Louis Lambert International Airport,STL,St. Louis,"6,108,758",MO,31
William P. Hobby Airport,HOU,Houston,"5,800,726",TX,32
Nashville International Airport,BNA,Nashville,"5,396,958",TN,33
Austin–Bergstrom International Airport,AUS,Austin,"5,219,982",TX,34
Oakland International Airport,OAK,Oakland,"5,069,257",CA,35
Kansas City International Airport,MCI,Kansas City,"4,982,722",MO,36
Louis Armstrong New Orleans International Airport,MSY,New Orleans,"4,870,569",LA,37
Raleigh-Durham International Airport,RDU,Raleigh,"4,673,869",NC,38
Norman Y. Mineta San José International Airport,SJC,San Jose,"4,621,003",CA,39
John Wayne Airport,SNA,Orange County,"4,584,147",CA,40
Dallas Love Field,DAL,Dallas,"4,522,341",TX,41
Sacramento International Airport,SMF,Sacramento,"4,384,616",CA,42
Luis Muñoz Marín International Airport,SJU,San Juan,"4,150,828",PR,43
San Antonio International Airport,SAT,San Antonio,"4,046,856",TX,44
Southwest Florida International Airport[13],RSW,Fort Myers,"4,025,959",FL,45
Pittsburgh International Airport,PIT,Pittsburgh,"3,827,860",PA,46
Cleveland Hopkins International Airport,CLE,Cleveland,"3,686,315",OH,47
Indianapolis International Airport,IND,Indianapolis,"3,605,908",IN,48
Milwaukee Mitchell International Airport,MKE,Milwaukee,"3,228,607",WI,49
John Glenn Columbus International Airport,CMH,Columbus,"3,115,501",OH,50
Kahului Airport,OGG,Kahului,"3,019,338",HI,51
Palm Beach International Airport,PBI,West Palm Beach,"2,926,242",FL,52
Bradley International Airport,BDL,Hartford,"2,913,380",CT,53
Cincinnati/Northern Kentucky International Airport,CVG,Cincinnati/Covington,"2,874,684",OH/KY,54
Jacksonville International Airport,JAX,Jacksonville,"2,589,198",FL,55
Ted Stevens Anchorage International Airport,ANC,Anchorage,"2,381,826",AK,56
Ontario International Airport,ONT,Ontario,"2,037,346",CA,57
Eppley Airfield,OMA,Omaha,"2,020,354",NE,58
